learner_id,certification_id,lab_id,lab_name,completion_status,completed_on,source_system
L03091,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-04-07,LabPlatform
L03092,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03092,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-22,LabPlatform
L03093,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-05,LabPlatform
L03093,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03094,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03094,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-06-03,LabPlatform
L03095,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-16,LabPlatform
L03095,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03096,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03096,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-06,LabPlatform
L03097,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-19,LabPlatform
L03097,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03098,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03098,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-31,LabPlatform
L03099,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-25,LabPlatform
L03099,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03100,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-28,LabPlatform
L03100,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-06-03,LabPlatform
L03101,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-19,LabPlatform
L03101,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-19,LabPlatform
L03102,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-22,LabPlatform
L03102,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03103,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03103,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03104,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-13,LabPlatform
L03104,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-30,LabPlatform
L03105,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-29,LabPlatform
L03105,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03106,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-19,LabPlatform
L03106,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-04-12,LabPlatform
L03107,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03107,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-19,LabPlatform
L03108,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03108,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-13,LabPlatform
L03109,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-21,LabPlatform
L03109,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-04,LabPlatform
L03110,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-02,LabPlatform
L03110,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-10,LabPlatform
L03111,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03111,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-08,LabPlatform
L03112,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-04,LabPlatform
L03112,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-08,LabPlatform
L03113,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-18,LabPlatform
L03113,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-11,LabPlatform
L03114,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03114,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-13,LabPlatform
L03115,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-12,LabPlatform
L03115,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-28,LabPlatform
L03116,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-18,LabPlatform
L03116,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-31,LabPlatform
L03117,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-10,LabPlatform
L03117,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-01,LabPlatform
L03118,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-15,LabPlatform
L03118,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-27,LabPlatform
L03119,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-05,LabPlatform
L03119,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03120,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03120,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-05-15,LabPlatform
L03121,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-27,LabPlatform
L03121,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-08,LabPlatform
L03122,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-06-01,LabPlatform
L03122,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-09,LabPlatform
L03123,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-11,LabPlatform
L03123,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-18,LabPlatform
L03124,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-28,LabPlatform
L03124,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-23,LabPlatform
L03125,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-03-15,LabPlatform
L03125,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-04-04,LabPlatform
L03126,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03126,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-22,LabPlatform
L03127,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-09,LabPlatform
L03127,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-06,LabPlatform
L03128,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-05,LabPlatform
L03128,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-12,LabPlatform
L03129,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03129,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-09,LabPlatform
L03130,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-25,LabPlatform
L03130,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03131,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-26,LabPlatform
L03131,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03132,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-18,LabPlatform
L03132,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03133,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03133,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03134,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-22,LabPlatform
L03134,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-28,LabPlatform
L03135,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-01,LabPlatform
L03135,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03136,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-10,LabPlatform
L03136,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-01,LabPlatform
L03137,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-05-18,LabPlatform
L03137,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-10,LabPlatform
L03138,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-02,LabPlatform
L03138,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03139,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-15,LabPlatform
L03139,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03140,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-19,LabPlatform
L03140,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-06-03,LabPlatform
L03141,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-16,LabPlatform
L03141,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-17,LabPlatform
L03142,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-16,LabPlatform
L03142,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03143,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-27,LabPlatform
L03143,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03144,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-12,LabPlatform
L03144,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-03-28,LabPlatform
L03145,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03145,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-12,LabPlatform
L03146,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-22,LabPlatform
L03146,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-16,LabPlatform
L03147,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-20,LabPlatform
L03147,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-21,LabPlatform
L03148,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03148,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-03-30,LabPlatform
L03149,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-27,LabPlatform
L03149,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03150,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-23,LabPlatform
L03150,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-11,LabPlatform
L03151,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-09,LabPlatform
L03151,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03152,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03152,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-03-11,LabPlatform
L03153,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-04,LabPlatform
L03153,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-14,LabPlatform
L03154,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-25,LabPlatform
L03154,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-16,LabPlatform
L03155,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-05-19,LabPlatform
L03155,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-06-06,LabPlatform
L03156,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-17,LabPlatform
L03156,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-15,LabPlatform
L03157,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-04-02,LabPlatform
L03157,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03158,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,failed,2026-03-26,LabPlatform
L03158,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03159,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-11,LabPlatform
L03159,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-13,LabPlatform
L03160,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-01,LabPlatform
L03160,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-06-04,LabPlatform
L03161,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-23,LabPlatform
L03161,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-27,LabPlatform
L03162,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03162,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-11,LabPlatform
L03163,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03163,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-31,LabPlatform
L03164,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-11,LabPlatform
L03164,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03165,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03165,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03166,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03166,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03167,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03167,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-01,LabPlatform
L03168,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-24,LabPlatform
L03168,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-14,LabPlatform
L03169,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-21,LabPlatform
L03169,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03170,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-03,LabPlatform
L03170,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-24,LabPlatform
L03171,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03171,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-30,LabPlatform
L03172,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03172,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03173,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03173,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03174,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03174,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,failed,2026-03-19,LabPlatform
L03175,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-20,LabPlatform
L03175,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03176,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-19,LabPlatform
L03176,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03177,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-25,LabPlatform
L03177,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-28,LabPlatform
L03178,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-05,LabPlatform
L03178,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-13,LabPlatform
L03179,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-05,LabPlatform
L03179,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03180,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03180,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03181,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-19,LabPlatform
L03181,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03182,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-11,LabPlatform
L03182,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03183,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-03,LabPlatform
L03183,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-06-05,LabPlatform
L03184,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-19,LabPlatform
L03184,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-17,LabPlatform
L03185,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-21,LabPlatform
L03185,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-24,LabPlatform
L03186,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03186,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-14,LabPlatform
L03187,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-20,LabPlatform
L03187,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03188,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-30,LabPlatform
L03188,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03189,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03189,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-22,LabPlatform
L03190,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03190,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03191,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03191,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-19,LabPlatform
L03192,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03192,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-13,LabPlatform
L03193,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03193,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03194,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03194,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-16,LabPlatform
L03195,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-24,LabPlatform
L03195,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-19,LabPlatform
L03196,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-02,LabPlatform
L03196,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03197,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-21,LabPlatform
L03197,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-16,LabPlatform
L03198,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-23,LabPlatform
L03198,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03199,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-03,LabPlatform
L03199,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03200,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-14,LabPlatform
L03200,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03201,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03201,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03202,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-08,LabPlatform
L03202,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-11,LabPlatform
L03203,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-21,LabPlatform
L03203,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03204,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03204,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03205,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-12,LabPlatform
L03205,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-14,LabPlatform
L03206,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03206,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-13,LabPlatform
L03207,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-11,LabPlatform
L03207,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03208,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-28,LabPlatform
L03208,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-20,LabPlatform
L03209,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-06-05,LabPlatform
L03209,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-27,LabPlatform
L03210,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-13,LabPlatform
L03210,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-02,LabPlatform
L03211,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03211,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03212,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-06-06,LabPlatform
L03212,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03213,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-25,LabPlatform
L03213,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-12,LabPlatform
L03214,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-20,LabPlatform
L03214,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-03,LabPlatform
L03215,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03215,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-03,LabPlatform
L03216,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-01,LabPlatform
L03216,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03217,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03217,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-24,LabPlatform
L03218,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-03,LabPlatform
L03218,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03219,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-13,LabPlatform
L03219,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-28,LabPlatform
L03220,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-18,LabPlatform
L03220,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-16,LabPlatform
L03221,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-31,LabPlatform
L03221,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-05-04,LabPlatform
L03222,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-16,LabPlatform
L03222,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-06,LabPlatform
L03223,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-03-28,LabPlatform
L03223,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03224,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-24,LabPlatform
L03224,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03225,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-10,LabPlatform
L03225,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-04-08,LabPlatform
L03226,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03226,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03227,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-04-22,LabPlatform
L03227,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,passed,2026-03-30,LabPlatform
L03228,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,missing,,LabPlatform
L03228,cert-enterprise-ai-safety,lab-escalation,Manager Escalation Lab,missing,,LabPlatform
L03229,cert-enterprise-ai-safety,lab-redteam,Red Team Review Lab,passed,2026-05-18,LabPlatform
