churn_event_id,customer_id,finance_churn_date,cs_churn_date,reason
CHN1308,C1308,2026-04-19,2026-05-19,synthetic cohort divergence
CHN1311,C1311,,2026-05-16,synthetic cohort divergence
CHN1314,C1314,2026-04-13,2026-05-13,synthetic cohort divergence
CHN1317,C1317,,2026-05-10,synthetic cohort divergence
CHN1320,C1320,2026-04-07,2026-05-07,synthetic cohort divergence
CHN1323,C1323,,2026-05-04,synthetic cohort divergence
CHN1326,C1326,2026-04-01,2026-05-01,synthetic cohort divergence
CHN1329,C1329,,2026-04-28,synthetic cohort divergence
CHN1332,C1332,2026-03-26,2026-04-25,synthetic cohort divergence
CHN1335,C1335,,2026-04-22,synthetic cohort divergence
CHN1338,C1338,2026-03-20,2026-04-19,synthetic cohort divergence
CHN1341,C1341,,2026-04-16,synthetic cohort divergence
CHN1344,C1344,2026-03-14,2026-04-13,synthetic cohort divergence
CHN1347,C1347,,2026-04-10,synthetic cohort divergence
CHN1350,C1350,2026-05-22,2026-04-07,synthetic cohort divergence
CHN1353,C1353,,2026-04-04,synthetic cohort divergence
CHN1356,C1356,2026-05-16,2026-04-01,synthetic cohort divergence
CHN1359,C1359,,2026-03-29,synthetic cohort divergence
CHN1362,C1362,2026-05-10,2026-03-26,synthetic cohort divergence
CHN1365,C1365,,2026-03-23,synthetic cohort divergence
CHN1368,C1368,2026-05-04,2026-03-20,synthetic cohort divergence
CHN1371,C1371,,2026-03-17,synthetic cohort divergence
CHN1374,C1374,2026-04-28,2026-03-14,synthetic cohort divergence
CHN1377,C1377,,2026-03-11,synthetic cohort divergence
CHN1380,C1380,2026-04-22,2026-03-08,synthetic cohort divergence
CHN1383,C1383,,2026-03-05,synthetic cohort divergence
CHN1386,C1386,2026-04-16,2026-03-02,synthetic cohort divergence
CHN1389,C1389,,2026-02-27,synthetic cohort divergence
CHN1392,C1392,2026-04-10,2026-02-24,synthetic cohort divergence
CHN1395,C1395,,2026-02-21,synthetic cohort divergence
CHN1398,C1398,2026-04-04,2026-02-18,synthetic cohort divergence
CHN1401,C1401,,2026-05-26,synthetic cohort divergence
CHN1404,C1404,2026-03-29,2026-05-23,synthetic cohort divergence
CHN1407,C1407,,2026-05-20,synthetic cohort divergence
CHN1410,C1410,2026-03-23,2026-05-17,synthetic cohort divergence
CHN1413,C1413,,2026-05-14,synthetic cohort divergence
CHN1416,C1416,2026-03-17,2026-05-11,synthetic cohort divergence
CHN1419,C1419,,2026-05-08,synthetic cohort divergence
CHN1422,C1422,2026-03-11,2026-05-05,synthetic cohort divergence
CHN1425,C1425,,2026-05-02,synthetic cohort divergence
CHN1428,C1428,2026-05-19,2026-04-29,synthetic cohort divergence
CHN1431,C1431,,2026-04-26,synthetic cohort divergence
CHN1434,C1434,2026-05-13,2026-04-23,synthetic cohort divergence
CHN1437,C1437,,2026-04-20,synthetic cohort divergence
CHN1440,C1440,2026-05-07,2026-04-17,synthetic cohort divergence
CHN1443,C1443,,2026-04-14,synthetic cohort divergence
CHN1446,C1446,2026-05-01,2026-04-11,synthetic cohort divergence
CHN1449,C1449,,2026-04-08,synthetic cohort divergence
CHN1452,C1452,2026-04-25,2026-04-05,synthetic cohort divergence
CHN1455,C1455,,2026-04-02,synthetic cohort divergence
CHN1458,C1458,2026-04-19,2026-03-30,synthetic cohort divergence
CHN1461,C1461,,2026-03-27,synthetic cohort divergence
CHN1464,C1464,2026-04-13,2026-03-24,synthetic cohort divergence
CHN1467,C1467,,2026-03-21,synthetic cohort divergence
CHN1470,C1470,2026-04-07,2026-03-18,synthetic cohort divergence
CHN1473,C1473,,2026-03-15,synthetic cohort divergence
CHN1476,C1476,2026-04-01,2026-03-12,synthetic cohort divergence
CHN1479,C1479,,2026-03-09,synthetic cohort divergence
CHN1482,C1482,2026-03-26,2026-03-06,synthetic cohort divergence
CHN1485,C1485,,2026-03-03,synthetic cohort divergence
CHN1488,C1488,2026-03-20,2026-02-28,synthetic cohort divergence
CHN1491,C1491,,2026-02-25,synthetic cohort divergence
CHN1494,C1494,2026-03-14,2026-02-22,synthetic cohort divergence
CHN1497,C1497,,2026-02-19,synthetic cohort divergence
CHN1500,C1500,2026-05-22,2026-05-27,synthetic cohort divergence
CHN1503,C1503,,2026-05-24,synthetic cohort divergence
CHN1506,C1506,2026-05-16,2026-05-21,synthetic cohort divergence
CHN1509,C1509,,2026-05-18,synthetic cohort divergence
CHN1512,C1512,2026-05-10,2026-05-15,synthetic cohort divergence
CHN1515,C1515,,2026-05-12,synthetic cohort divergence
CHN1518,C1518,2026-05-04,2026-05-09,synthetic cohort divergence
CHN1521,C1521,,2026-05-06,synthetic cohort divergence
CHN1524,C1524,2026-04-28,2026-05-03,synthetic cohort divergence
CHN1527,C1527,,2026-04-30,synthetic cohort divergence
CHN1530,C1530,2026-04-22,2026-04-27,synthetic cohort divergence
CHN1533,C1533,,2026-04-24,synthetic cohort divergence
CHN1536,C1536,2026-04-16,2026-04-21,synthetic cohort divergence
CHN1539,C1539,,2026-04-18,synthetic cohort divergence
CHN1542,C1542,2026-04-10,2026-04-15,synthetic cohort divergence
CHN1545,C1545,,2026-04-12,synthetic cohort divergence
CHN1548,C1548,2026-04-04,2026-04-09,synthetic cohort divergence
CHN1551,C1551,,2026-04-06,synthetic cohort divergence
CHN1554,C1554,2026-03-29,2026-04-03,synthetic cohort divergence
CHN1557,C1557,,2026-03-31,synthetic cohort divergence
CHN1560,C1560,2026-03-23,2026-03-28,synthetic cohort divergence
CHN1563,C1563,,2026-03-25,synthetic cohort divergence
CHN1566,C1566,2026-03-17,2026-03-22,synthetic cohort divergence
CHN1569,C1569,,2026-03-19,synthetic cohort divergence
CHN1572,C1572,2026-03-11,2026-03-16,synthetic cohort divergence
CHN1575,C1575,,2026-03-13,synthetic cohort divergence
CHN1578,C1578,2026-05-19,2026-03-10,synthetic cohort divergence
CHN1581,C1581,,2026-03-07,synthetic cohort divergence
CHN1584,C1584,2026-05-13,2026-03-04,synthetic cohort divergence
CHN1587,C1587,,2026-03-01,synthetic cohort divergence
CHN1590,C1590,2026-05-07,2026-02-26,synthetic cohort divergence
CHN1593,C1593,,2026-02-23,synthetic cohort divergence
CHN1596,C1596,2026-05-01,2026-02-20,synthetic cohort divergence
CHN1599,C1599,,2026-02-17,synthetic cohort divergence
CHN1602,C1602,2026-04-25,2026-05-25,synthetic cohort divergence
CHN1605,C1605,,2026-05-22,synthetic cohort divergence
CHN1608,C1608,2026-04-19,2026-05-19,synthetic cohort divergence
CHN1611,C1611,,2026-05-16,synthetic cohort divergence
CHN1614,C1614,2026-04-13,2026-05-13,synthetic cohort divergence
CHN1617,C1617,,2026-05-10,synthetic cohort divergence
CHN1620,C1620,2026-04-07,2026-05-07,synthetic cohort divergence
CHN1623,C1623,,2026-05-04,synthetic cohort divergence
CHN1626,C1626,2026-04-01,2026-05-01,synthetic cohort divergence
CHN1629,C1629,,2026-04-28,synthetic cohort divergence
CHN1632,C1632,2026-03-26,2026-04-25,synthetic cohort divergence
CHN1635,C1635,,2026-04-22,synthetic cohort divergence
CHN1638,C1638,2026-03-20,2026-04-19,synthetic cohort divergence
CHN1641,C1641,,2026-04-16,synthetic cohort divergence
CHN1644,C1644,2026-03-14,2026-04-13,synthetic cohort divergence
CHN1647,C1647,,2026-04-10,synthetic cohort divergence
CHN1650,C1650,2026-05-22,2026-04-07,synthetic cohort divergence
CHN1653,C1653,,2026-04-04,synthetic cohort divergence
CHN1656,C1656,2026-05-16,2026-04-01,synthetic cohort divergence
CHN1659,C1659,,2026-03-29,synthetic cohort divergence
CHN1662,C1662,2026-05-10,2026-03-26,synthetic cohort divergence
CHN1665,C1665,,2026-03-23,synthetic cohort divergence
CHN1668,C1668,2026-05-04,2026-03-20,synthetic cohort divergence
CHN1671,C1671,,2026-03-17,synthetic cohort divergence
CHN1674,C1674,2026-04-28,2026-03-14,synthetic cohort divergence
CHN1677,C1677,,2026-03-11,synthetic cohort divergence
CHN1680,C1680,2026-04-22,2026-03-08,synthetic cohort divergence
CHN1683,C1683,,2026-03-05,synthetic cohort divergence
CHN1686,C1686,2026-04-16,2026-03-02,synthetic cohort divergence
CHN1689,C1689,,2026-02-27,synthetic cohort divergence
CHN1692,C1692,2026-04-10,2026-02-24,synthetic cohort divergence
CHN1695,C1695,,2026-02-21,synthetic cohort divergence
CHN1698,C1698,2026-04-04,2026-02-18,synthetic cohort divergence
CHN1701,C1701,,2026-05-26,synthetic cohort divergence
CHN1704,C1704,2026-03-29,2026-05-23,synthetic cohort divergence
CHN1707,C1707,,2026-05-20,synthetic cohort divergence
CHN1710,C1710,2026-03-23,2026-05-17,synthetic cohort divergence
CHN1713,C1713,,2026-05-14,synthetic cohort divergence
CHN1716,C1716,2026-03-17,2026-05-11,synthetic cohort divergence
CHN1719,C1719,,2026-05-08,synthetic cohort divergence
CHN1722,C1722,2026-03-11,2026-05-05,synthetic cohort divergence
CHN1725,C1725,,2026-05-02,synthetic cohort divergence
CHN1728,C1728,2026-05-19,2026-04-29,synthetic cohort divergence
CHN1731,C1731,,2026-04-26,synthetic cohort divergence
CHN1734,C1734,2026-05-13,2026-04-23,synthetic cohort divergence
CHN1737,C1737,,2026-04-20,synthetic cohort divergence
CHN1740,C1740,2026-05-07,2026-04-17,synthetic cohort divergence
CHN1743,C1743,,2026-04-14,synthetic cohort divergence
CHN1746,C1746,2026-05-01,2026-04-11,synthetic cohort divergence
CHN1749,C1749,,2026-04-08,synthetic cohort divergence
CHN1752,C1752,2026-04-25,2026-04-05,synthetic cohort divergence
CHN1755,C1755,,2026-04-02,synthetic cohort divergence
CHN1758,C1758,2026-04-19,2026-03-30,synthetic cohort divergence
CHN1761,C1761,,2026-03-27,synthetic cohort divergence
CHN1764,C1764,2026-04-13,2026-03-24,synthetic cohort divergence
CHN1767,C1767,,2026-03-21,synthetic cohort divergence
CHN1770,C1770,2026-04-07,2026-03-18,synthetic cohort divergence
CHN1773,C1773,,2026-03-15,synthetic cohort divergence
CHN1776,C1776,2026-04-01,2026-03-12,synthetic cohort divergence
CHN1779,C1779,,2026-03-09,synthetic cohort divergence
CHN1782,C1782,2026-03-26,2026-03-06,synthetic cohort divergence
CHN1785,C1785,,2026-03-03,synthetic cohort divergence
CHN1788,C1788,2026-03-20,2026-02-28,synthetic cohort divergence
CHN1791,C1791,,2026-02-25,synthetic cohort divergence
CHN1794,C1794,2026-03-14,2026-02-22,synthetic cohort divergence
CHN1797,C1797,,2026-02-19,synthetic cohort divergence
CHN1800,C1800,2026-05-22,2026-05-27,synthetic cohort divergence
CHN1803,C1803,,2026-05-24,synthetic cohort divergence
CHN1806,C1806,2026-05-16,2026-05-21,synthetic cohort divergence
CHN1809,C1809,,2026-05-18,synthetic cohort divergence
CHN1812,C1812,2026-05-10,2026-05-15,synthetic cohort divergence
CHN1815,C1815,,2026-05-12,synthetic cohort divergence
CHN1818,C1818,2026-05-04,2026-05-09,synthetic cohort divergence
CHN1821,C1821,,2026-05-06,synthetic cohort divergence
CHN1824,C1824,2026-04-28,2026-05-03,synthetic cohort divergence
CHN1827,C1827,,2026-04-30,synthetic cohort divergence
CHN1830,C1830,2026-04-22,2026-04-27,synthetic cohort divergence
CHN1833,C1833,,2026-04-24,synthetic cohort divergence
CHN1836,C1836,2026-04-16,2026-04-21,synthetic cohort divergence
CHN1839,C1839,,2026-04-18,synthetic cohort divergence
CHN1842,C1842,2026-04-10,2026-04-15,synthetic cohort divergence
CHN1845,C1845,,2026-04-12,synthetic cohort divergence
CHN1848,C1848,2026-04-04,2026-04-09,synthetic cohort divergence
CHN1851,C1851,,2026-04-06,synthetic cohort divergence
CHN1854,C1854,2026-03-29,2026-04-03,synthetic cohort divergence
CHN1857,C1857,,2026-03-31,synthetic cohort divergence
CHN1860,C1860,2026-03-23,2026-03-28,synthetic cohort divergence
CHN1863,C1863,,2026-03-25,synthetic cohort divergence
CHN1866,C1866,2026-03-17,2026-03-22,synthetic cohort divergence
CHN1869,C1869,,2026-03-19,synthetic cohort divergence
CHN1872,C1872,2026-03-11,2026-03-16,synthetic cohort divergence
CHN1875,C1875,,2026-03-13,synthetic cohort divergence
CHN1878,C1878,2026-05-19,2026-03-10,synthetic cohort divergence
CHN1881,C1881,,2026-03-07,synthetic cohort divergence
CHN1884,C1884,2026-05-13,2026-03-04,synthetic cohort divergence
CHN1887,C1887,,2026-03-01,synthetic cohort divergence
CHN1890,C1890,2026-05-07,2026-02-26,synthetic cohort divergence
CHN1893,C1893,,2026-02-23,synthetic cohort divergence
CHN1896,C1896,2026-05-01,2026-02-20,synthetic cohort divergence
CHN1899,C1899,,2026-02-17,synthetic cohort divergence
CHN1902,C1902,2026-04-25,2026-05-25,synthetic cohort divergence
CHN1905,C1905,,2026-05-22,synthetic cohort divergence
CHN1908,C1908,2026-04-19,2026-05-19,synthetic cohort divergence
CHN1911,C1911,,2026-05-16,synthetic cohort divergence
CHN1914,C1914,2026-04-13,2026-05-13,synthetic cohort divergence
CHN1917,C1917,,2026-05-10,synthetic cohort divergence
CHN1920,C1920,2026-04-07,2026-05-07,synthetic cohort divergence
CHN1923,C1923,,2026-05-04,synthetic cohort divergence
CHN1926,C1926,2026-04-01,2026-05-01,synthetic cohort divergence
CHN1929,C1929,,2026-04-28,synthetic cohort divergence
CHN1932,C1932,2026-03-26,2026-04-25,synthetic cohort divergence
CHN1935,C1935,,2026-04-22,synthetic cohort divergence
CHN1938,C1938,2026-03-20,2026-04-19,synthetic cohort divergence
CHN1941,C1941,,2026-04-16,synthetic cohort divergence
CHN1944,C1944,2026-03-14,2026-04-13,synthetic cohort divergence
CHN1947,C1947,,2026-04-10,synthetic cohort divergence
CHN1950,C1950,2026-05-22,2026-04-07,synthetic cohort divergence
CHN1953,C1953,,2026-04-04,synthetic cohort divergence
CHN1956,C1956,2026-05-16,2026-04-01,synthetic cohort divergence
CHN1959,C1959,,2026-03-29,synthetic cohort divergence
CHN1962,C1962,2026-05-10,2026-03-26,synthetic cohort divergence
CHN1965,C1965,,2026-03-23,synthetic cohort divergence
CHN1968,C1968,2026-05-04,2026-03-20,synthetic cohort divergence
CHN1971,C1971,,2026-03-17,synthetic cohort divergence
CHN1974,C1974,2026-04-28,2026-03-14,synthetic cohort divergence
CHN1977,C1977,,2026-03-11,synthetic cohort divergence
CHN1980,C1980,2026-04-22,2026-03-08,synthetic cohort divergence
CHN1983,C1983,,2026-03-05,synthetic cohort divergence
CHN1986,C1986,2026-04-16,2026-03-02,synthetic cohort divergence
CHN1989,C1989,,2026-02-27,synthetic cohort divergence
CHN1992,C1992,2026-04-10,2026-02-24,synthetic cohort divergence
CHN1995,C1995,,2026-02-21,synthetic cohort divergence
CHN1998,C1998,2026-04-04,2026-02-18,synthetic cohort divergence
